CSC212,https://drive.google.com/open?id=1yAiD8OlsLIEoJSrorI6rPmA4l84HzCMT
,
CSC225,https://drive.google.com/open?id=1BxEc5p6IHckFU85QIUAn6jHSh6Usz2e1
,
FRE135,https://drive.google.com/open?id=1nt7J1wGtWmeaSJJUqc37Li8XLnugsK7Z
,
FRE147,https://drive.google.com/open?id=1o-3BW7y33N3P8IlGevxi15tML3sPWOY1
,
FSC311,https://drive.google.com/open?id=1Gg3z7xz1eNei-OLsNZLfxWuZ0md03BhY
,
GLY121,https://drive.google.com/open?id=1Co2hoR6w3dy5UXtFgpcgP5Dhts4Hcxpd
,
GLY211,https://drive.google.com/open?id=1OyqN9QWuTk6RoqbG3LD2SiBojoVa1bNX
,
GLY212,https://drive.google.com/open?id=1NxIRhG8ttLUU9gULB4jv6fbZHsIFWLA9
,
GLY222,https://drive.google.com/open?id=1nhme0mdBtusH78dtPp-dEh7R3xX6x1jG
,
GLY223,https://drive.google.com/open?id=1AR_RDHVRuxSdHepWBNsG55j5eYpmcPYa
,
GLY224,https://drive.google.com/open?id=1G3ho63fNyRkgjGZpkOYtMyw7DSPWvbXW
,
GLY311,https://drive.google.com/open?id=1MWvbw7wxs1dLwKCewnhjD3k_9Lh0sFRN
,
GLY313,https://drive.google.com/open?id=1TUHIWKDD8dmxyvEbJOZw2qFDOiYTiYJc
,
GLY315,https://drive.google.com/open?id=1xPChxeIKRLFk7jIOZfInSZXaYePfb319
,
GLY322,https://drive.google.com/open?id=1_psf2OboFejMM_aLjXMYEFV4tF48bXAH
,
GLY323,https://drive.google.com/open?id=1b7_rVNEmOyUiH5xxaxxprNqrhBWu4lkE
,
GLY325,https://drive.google.com/open?id=1B5SPncTocLQJEsrhq6laqjqEBl35oNN1
,
GLY326,https://drive.google.com/open?id=1EnSpseE6m5_o1fhSWC0LNFZMGEd1F_GW
,
GLY411,https://drive.google.com/open?id=1n__mkGrN6YznmkYEbQ-5Ol5lGONyy18f
,
GLY413,https://drive.google.com/open?id=1zFiaOc2DH1DndZBb-22nqm39KQKI-v4u
,
GLY413,https://drive.google.com/open?id=1SV4ezt62uqKZo6bWN27GAdUC--nD2t14
,
GLY415,https://drive.google.com/open?id=11T0azwgmrsS75Jdg7INI5eO0QPXqB3jU
,
GLY416,https://drive.google.com/open?id=1jDKMLftYVNukAi8HNnFiUOhuq2_Sq-73
,
GLY511,https://drive.google.com/open?id=1LYeNICVRWRisC6V8zjRuFRWhq3Dy4T_A
,
GLY513,https://drive.google.com/open?id=16LEGaOLWNoSrj4LOWkvkhlqwldXXddPh
,
GLY521,https://drive.google.com/open?id=1XqBVdT10frfvybQYu-10ly7gAOAz0Arc
,
GLY523,https://drive.google.com/open?id=1MFF3MTKF-8rWigj_wMDkGGaom9UkVG2l
,
GPS121,https://drive.google.com/open?id=1qtFEpJqsAIlFdbDvPfjx7NuTOh1TxnJE
,
GPS311,https://drive.google.com/open?id=1fpybqvAH7p7i_eZJskZDszDnH1140Tqh
,
GLY312,https://drive.google.com/open?id=1wVfsg1lvhJmyd7uYbmvXRTNZM2s5_isD
,
